,Unnamed: 0,Donor,lineage,# postB Cells in Cluster,# preB Cells in Cluster,postB fold enrichment norm,hypergeom p,Fisher p,Fisher -log10p,-log10p,# postA Cells in Cluster,# preA Cells in Cluster,Comparison,postA fold enrichment norm
42,42,2,17,5.0,18.0,0.3103174603174603,0.9900612339160708,0.0178314223885536,1.7488139867782593,0.0043379440595705,,,B_,
43,43,2,18,7.0,12.0,0.6516666666666666,0.75249985484067,0.4861434400081634,0.313235580921173,0.1234935795107331,,,B_,
44,44,2,19,7.0,11.0,0.7109090909090909,0.6821723501094596,0.6339563727378845,0.1979406327009201,0.1661058874472999,,,B_,
45,45,2,20,13.0,4.0,3.630714285714285,0.0030061687043265,0.0240988135337829,1.618004322052002,2.5219866507277517,,,B_,
46,46,2,21,12.0,5.0,2.681142857142857,0.013166847625897,0.0824977308511734,1.0835579633712769,1.880518190304204,,,B_,
47,47,2,22,12.0,4.0,3.3514285714285714,0.0053969166861473,0.0396190024912357,1.4020965099334717,2.2678542862197104,,,B_,
48,48,2,23,10.0,6.0,1.8619047619047615,0.0677258241338678,0.3114936053752899,0.5065508484840393,1.1692457014721516,,,B_,
49,49,2,24,1.0,13.0,0.0859340659340659,0.9983804342257168,0.002032026881352,2.692070484161377,0.0007039386703329,,,B_,
50,50,2,25,8.0,6.0,1.4895238095238097,0.1539524978915367,0.5909827351570129,0.2284252196550369,0.8126132602410682,,,B_,
51,51,2,26,2.0,11.0,0.2031168831168831,0.9823164254828632,0.0238762591034173,1.622033715248108,0.0077485939793615,,,B_,
52,52,2,27,5.0,5.0,1.1171428571428572,0.3098483081414112,1.0,-0.0,0.5088508708773984,,,B_,
53,53,2,28,3.0,6.0,0.5585714285714286,0.6898894966099746,0.5112171173095703,0.2913946211338043,0.161220467024783,,,B_,
54,54,2,29,4.0,5.0,0.8937142857142857,0.4318281330116351,1.0,-0.0,0.3646890673892117,,,B_,
55,55,4,0,12.0,43.0,0.7389767441860465,0.7951707873175917,0.420127511024475,0.3766188919544219,0.0995395832634242,,,B_,
56,56,4,1,6.0,38.0,0.4181052631578947,0.9805026341338968,0.0326657816767692,1.485906958580017,0.0085512352564935,,,B_,
57,57,4,2,11.0,33.0,0.8826666666666666,0.5706849272946624,0.8590808510780334,0.0659659653902053,0.2436035977142271,,,B_,
58,58,4,3,8.0,36.0,0.5884444444444444,0.9001897592119062,0.2121331691741943,0.6733914017677307,0.0456659320141333,,,B_,
59,59,4,4,8.0,21.0,1.0087619047619047,0.3961875932706843,1.0,-0.0,0.4020991286421095,,,B_,
60,60,4,5,8.0,17.0,1.2461176470588236,0.2199599587733633,0.6454968452453613,0.1901058852672576,0.6576563703890604,,,B_,
61,61,4,6,6.0,18.0,0.8826666666666667,0.5018177863776745,1.0,-0.0,0.2994539496599459,,,B_,
62,62,4,7,4.0,19.0,0.5574736842105263,0.8041554898220418,0.3423134088516235,0.4655761122703552,0.0946599688601162,,,B_,
63,63,4,8,12.0,3.0,10.592,1.890017743311212e-06,2.4609294996480457e-05,4.608901023864745,5.723534118691317,,,B_,
64,64,4,9,8.0,5.0,4.2368,0.0017425718649691,0.0093276957049965,2.0302255153656006,2.7588093022308287,,,B_,
65,65,4,10,6.0,6.0,2.648,0.0222233961975041,0.0985940694808959,1.006149172782898,1.6531895710869495,,,B_,
66,66,4,11,8.0,3.0,7.061333333333333,0.0002277534781797,0.0020191406365483,2.694833517074585,3.6425349818951487,,,B_,
67,67,4,12,1.0,9.0,0.2942222222222222,0.8091154403267228,0.2979471683502197,0.5258607268333435,0.0919895111192369,,,B_,
68,68,4,13,4.0,7.0,1.5131428571428571,0.1543727152265545,0.5027424693107604,0.2986544370651245,0.8114294570681145,,,B_,
69,69,4,14,13.0,64.0,0.537875,0.985935562758712,0.024737050756812,1.606652021408081,0.0061514680737907,,,B_,
70,70,4,15,2.0,5.0,1.0592,0.2942692387467536,1.0,-0.0,0.5312551342333063,,,B_,
71,71,4,16,4.0,3.0,3.5306666666666664,0.0185942187919903,0.0933327823877334,1.0299657583236694,1.730622063148234,,,B_,
72,72,4,17,4.0,1.0,10.592,0.0014591948278963,0.0214176028966903,1.6692291498184204,2.8358867183660235,,,B_,
73,73,5,0,91.0,1.0,16.710485933503836,0.9476663512554816,0.0997843295335769,1.0009377002716064,0.0233445395751506,60.0,3.0,B_,
74,74,5,1,116.0,1.0,21.30127877237852,0.0019663520216862,0.0069336974993348,2.1590352058410645,2.70633873096449,30.0,7.0,B_,
75,75,5,2,83.0,1.0,15.24143222506394,0.0725046370586386,0.1986079812049865,0.7020033001899719,1.1396342170899794,28.0,5.0,B_,
76,76,5,3,79.0,1.0,14.506905370843988,0.1456982134514817,0.3683044910430908,0.4337929785251617,0.8365457735074299,32.0,2.0,B_,
77,77,5,4,72.0,1.0,13.221483375959078,0.0085279054971726,0.0283957161009311,1.5467472076416016,2.069157620968048,17.0,5.0,B_,
78,78,5,5,69.0,1.0,12.670588235294115,0.0320598084548666,0.0988908037543296,1.004844069480896,1.4940390767180856,23.0,1.0,B_,
79,79,5,6,75.0,1.0,13.77237851662404,6.534162080396033e-05,0.0003067296638619,3.513244152069092,4.18481009701874,11.0,4.0,B_,
80,80,5,7,67.0,1.0,12.303324808184144,0.0087630656411112,0.0305847842246294,1.51449453830719,2.057343935143984,17.0,3.0,B_,
81,81,5,8,1.0,83.0,0.002212430283795,1.0,7.546883456212449e-39,38.12223052978516,-0.0,1.0,1.0,B_,
82,82,5,9,60.0,1.0,11.017902813299234,0.1508854636173463,0.4218261241912841,0.3748665452003479,0.8213525983613603,20.0,5.0,B_,
83,83,5,10,67.0,1.0,12.303324808184144,0.0018071619711131,0.0075603066943585,2.1214606761932373,2.7430029210371547,13.0,4.0,B_,
84,84,5,11,58.0,1.0,10.650639386189258,0.2355732548156753,0.5663002133369445,0.2469532787799835,0.6278740175576867,25.0,1.0,B_,
85,85,5,12,52.0,1.0,9.548849104859336,0.7469862474078008,0.4885870218276977,0.3110580742359161,0.1266873938069364,30.0,2.0,B_,
86,86,5,13,67.0,1.0,12.303324808184144,0.0009806919468849,0.0036024581640958,2.4434010982513428,3.0084673909666857,11.0,5.0,B_,
87,87,5,14,62.0,1.0,11.385166240409209,0.0219986972184864,0.0790612176060676,1.102036476135254,1.6576030377039497,15.0,5.0,B_,
88,88,5,15,64.0,1.0,11.75242966751918,0.0019626525466002,0.0088696014136075,2.052095890045166,2.7071565778581217,8.0,8.0,B_,
