"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"NR4A2",0.279309918024961,-0.145275385420564,0.41,0.509,1
"HOXC8",0.279309918024961,0.124604251427011,0.44,0.302,1
"PAX5",0.281255134350395,-0.114294149666199,0.46,0.552,1
"DMRTA2",0.282231182480839,0.146906325420154,0.43,0.414,1
"HSF2",0.283209524914147,0.181374667817195,0.5,0.44,1
"IRF6",0.283209524914147,0.144941768012212,0.6,0.526,1
"FOSL2::JUN",0.284190162368411,-0.272762435110111,0.48,0.586,1
"LMX1B",0.288135676047872,0.196930065268103,0.43,0.405,1
"SPI1",0.293119283829557,0.111770261920622,0.56,0.466,1
"PHOX2A",0.294122906511249,-0.133229944186398,0.4,0.431,1
"TCF12(var.2)",0.294122906511249,0.159382231848647,0.51,0.414,1
"EN1",0.296137057064637,-0.141675713301423,0.43,0.491,1
"NRF1",0.298160417578098,0.169399426615368,0.41,0.379,1
"MYF6",0.298160417578098,0.144700641979157,0.45,0.422,1
"NKX2-5",0.300192991406282,-0.121705000303982,0.42,0.457,1
"HOXC12",0.302234781566947,-0.176444018433448,0.45,0.491,1
"HOXC13",0.305314753199,0.169530992260087,0.51,0.422,1
"SOX13",0.306346021262063,0.153739903410114,0.48,0.491,1
"RXRA::VDR",0.309453661352851,-0.135025711804223,0.42,0.509,1
"HOXB13",0.310494154003314,0.134567879823347,0.47,0.422,1
"TCF3",0.313629471952895,0.156620884461211,0.53,0.431,1
"OVOL2",0.316785551965997,0.162403209994707,0.45,0.405,1
"IRF5",0.32102595698023,-0.195080505661879,0.54,0.543,1
"SOX18",0.322091825645178,0.11322593003909,0.44,0.405,1
"ZBTB18",0.325303272100575,0.116647731000848,0.52,0.483,1
"POU5F1",0.326378367296174,0.128387753796908,0.53,0.509,1
"ZNF263",0.331788432607397,0.123563458928153,0.5,0.422,1
"PDX1",0.332877361821982,0.16786959316479,0.42,0.431,1
"EMX1",0.332877361821982,0.16786959316479,0.42,0.431,1
"HOXB2",0.332877361821982,0.16786959316479,0.42,0.431,1
"HOXD3",0.332877361821982,0.16786959316479,0.42,0.431,1
"LHX6",0.336157976346896,0.135633098134368,0.45,0.483,1
"ZSCAN4",0.336157976346896,-0.165182815963109,0.42,0.466,1
"ETV4",0.339459323437539,0.105893220983936,0.6,0.509,1
"KLF3",0.341671733981733,-0.10217752418474,0.39,0.448,1
"CUX2",0.349487635702164,-0.125253390698332,0.37,0.431,1
"MSGN1",0.351741435330548,0.104953113060978,0.51,0.448,1
"THRB(var.3)",0.355139352093218,-0.147421701538306,0.41,0.466,1
"ZKSCAN5",0.358557911495797,0.123259758460572,0.57,0.483,1
"SOX9",0.361997091384102,0.151343456154117,0.46,0.483,1
"NR1H2::RXRA",0.365456867695593,-0.140751255142782,0.41,0.457,1
"FOSL1::JUNB",0.367774814943769,-0.232560739484386,0.53,0.56,1
"FOSL2::JUND",0.367774814943769,-0.207935477077087,0.53,0.578,1
"FOXI1",0.368937214451004,0.151180760833297,0.46,0.328,1
"FOXL1",0.368937214451004,0.151180760833297,0.46,0.328,1
"FOXO4",0.368937214451004,0.151180760833297,0.46,0.328,1
"FOXO6",0.368937214451004,0.151180760833297,0.46,0.328,1
"FOXP3",0.368937214451004,0.151180760833297,0.46,0.328,1
"E2F8",0.368937214451004,0.113702605227847,0.45,0.345,1
"FOS::JUN",0.377137859353043,-0.207770619922556,0.52,0.56,1
"FOSL2::JUNB",0.378318487410975,-0.192260924208265,0.5,0.534,1
"CREB1",0.384255699884619,-0.108612994373117,0.41,0.474,1
"SREBF2",0.393873025795586,-0.104859653749834,0.46,0.534,1
"JUND",0.399957182272974,-0.293530659823972,0.54,0.534,1
"GBX2",0.403634648170243,0.107788645141708,0.45,0.422,1
"MEIS1(var.2)",0.412293764357486,-0.12184500441465,0.42,0.474,1
"NKX2-8",0.414787881189451,0.133491689831631,0.48,0.44,1
"FOS::JUNB",0.416038277212605,-0.199778301662162,0.5,0.552,1
"FOSL1",0.416038277212605,-0.260523294066883,0.51,0.543,1
"GLIS1",0.41854573443676,-0.122545552252063,0.42,0.466,1
"ZNF140",0.419802791548827,0.12852076059989,0.44,0.448,1
"BARX1",0.422323552364588,-0.124313939935161,0.46,0.483,1
"ARNT2",0.424853161135099,0.127916268575555,0.42,0.397,1
"JUN::JUNB(var.2)",0.427391600511582,-0.168233906573563,0.42,0.44,1
"TFEC",0.435059722818043,0.12178180738807,0.52,0.448,1
"PAX3",0.445406392165978,0.112870782141161,0.44,0.414,1
"JUN::JUNB",0.449322257457233,-0.147395135655044,0.49,0.483,1
"CEBPG(var.2)",0.459859470065763,-0.165330912833746,0.49,0.517,1
"CEBPD",0.459859470065763,0.134698201851529,0.53,0.448,1
"ATOH1(var.2)",0.463846301116671,0.124246312536943,0.52,0.483,1
"NR2F1",0.467852307632732,0.10080404941934,0.44,0.422,1
"BACH1",0.467852307632732,-0.137983730930277,0.53,0.552,1
"NR3C2",0.469191890502354,-0.123158283578319,0.46,0.474,1
"ATF3",0.473223338777873,-0.113435354243501,0.45,0.552,1
"BATF",0.473223338777873,-0.229674224038563,0.5,0.543,1
"INSM1",0.478628119997256,-0.123042327887307,0.45,0.44,1
"ISX",0.481343103776184,0.134267931171611,0.39,0.371,1
"RAX2",0.481343103776184,0.134267931171611,0.39,0.371,1
"SNAI3",0.486798127958959,0.101889221824938,0.48,0.44,1
"RREB1",0.490911215939429,0.122043817541543,0.41,0.422,1
"ARGFX",0.49228638336705,0.147039349577738,0.46,0.414,1
"BHLHA15(var.2)",0.49228638336705,0.102709940444532,0.49,0.457,1
"TBX2",0.496424251586796,0.125696340905658,0.47,0.457,1
"NFATC4",0.496424251586796,0.127249370111738,0.35,0.345,1
"FOSB::JUNB",0.508948318029175,-0.147445447700344,0.5,0.578,1
"IRF4",0.515977001313322,-0.170559850283809,0.53,0.569,1
"ZIC4",0.527326728387158,0.101779716809544,0.43,0.422,1
"OSR2",0.5301839298244,0.125259800533923,0.51,0.466,1
"ETV3",0.531615473633636,-0.118601328613772,0.42,0.422,1
"MYOD1",0.537361172481434,0.121568384528454,0.46,0.448,1
"HOXB3",0.557713697256861,0.137348254382842,0.43,0.362,1
"FOSL2",0.563596845011884,-0.153315440579982,0.53,0.569,1
"GATA1::TAL1",0.572477248979735,-0.178812119574115,0.31,0.345,1
"BATF::JUN",0.572477248979735,-0.22089561303657,0.5,0.534,1
"MEOX2",0.585921094665624,0.100009651897389,0.36,0.319,1
"MAF",0.591942797299416,0.116300786041133,0.45,0.474,1
"NR6A1",0.599509621728034,-0.120425960228503,0.43,0.388,1
"CTCF",0.619385294106075,0.107261844452417,0.4,0.405,1
"FOS::JUND",0.622468441266918,-0.164795080240436,0.46,0.578,1
"CEBPB",0.625558224339184,0.101886078812583,0.51,0.491,1
"GATA4",0.642668630463906,-0.182157249497764,0.35,0.379,1
"HOXC4",0.677456674123574,0.119169950407427,0.48,0.414,1
"EBF1",0.717836762925921,0.175452785795072,0.44,0.405,1
"NKX6-1",0.747414547394193,0.123898969954439,0.38,0.336,1
"NKX6-2",0.747414547394193,0.123898969954439,0.38,0.336,1
"LHX5",0.747414547394193,0.123898969954439,0.38,0.336,1
"GMEB2",0.752381915945385,0.111586980977663,0.4,0.405,1
"CREB3L4(var.2)",0.765677946487747,-0.114396175243864,0.53,0.474,1
"NFE2",0.775695713142619,-0.104772083557061,0.49,0.526,1
"MAFA",0.797527267897274,0.111655660932479,0.51,0.509,1
"HOXD11",0.811042425676973,-0.114047983013996,0.43,0.397,1
